MOVIMIENTO: ABRIL/ 2026,MOVIMIENTO: ABRIL/ 2026,MOVIMIENTO: ABRIL/ 2026,MOVIMIENTO: ABRIL/ 2026,MOVIMIENTO: ABRIL/ 2026,MOVIMIENTO: ABRIL/ 2026,MOVIMIENTO: ABRIL/ 2026
MATERIAL,SALDO,13278,,,,SALDO 
MATERIAL,2026-02-28,2026-04-20,,,,2026-04-30
"TABLEROS DE MADERA DE 70*1,40",26,-4,,,,22
HORA,,04:50,,,,
TRANSPORTE,,TTU-924,,,,
ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER
PERIODO:ABRIL 2026,PERIODO:ABRIL 2026,PERIODO:ABRIL 2026,PERIODO:ABRIL 2026,PERIODO:ABRIL 2026,PERIODO:ABRIL 2026,PERIODO:ABRIL 2026
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,VALOR ,
"TABLEROS DE MADERA 70*1,40",20,26,200,5200,104000,ABRIL 1 AL 20
"TABLEROS DE MADERA 70*1,40",10,22,200,4400,44000,ABRIL 21 AL 30
ABRIL 1 AL 30,ABRIL 1 AL 30,,,104000,,
,,,,,,
,,,,,,
ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER
CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059
MOVIMIENTO: MAYO/ 2026,MOVIMIENTO: MAYO/ 2026,MOVIMIENTO: MAYO/ 2026,MOVIMIENTO: MAYO/ 2026,MOVIMIENTO: MAYO/ 2026,MOVIMIENTO: MAYO/ 2026,MOVIMIENTO: MAYO/ 2026
MATERIAL,SALDO,,,,,SALDO 
MATERIAL,31/04/2026,,,,,2026-05-31
"TABLEROS DE MADERA DE 70*1,40",22,,,,,22
HORA,,,,,,
TRANSPORTE,,,,,,
,,,,,,
ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER
PERIODO:MAYO 2026,PERIODO:MAYO 2026,PERIODO:MAYO 2026,PERIODO:MAYO 2026,PERIODO:MAYO 2026,PERIODO:MAYO 2026,PERIODO:MAYO 2026
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,VALOR ,
"TABLEROS DE MADERA 70*1,40",31,22,200,4400,136400,MAYO 1 AL 31
MAYO 1 AL 31,MAYO 1 AL 31,,,136400,136400,
,,,,,,
ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER
CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059
MOVIMIENTO: JUNIO/ 2026,MOVIMIENTO: JUNIO/ 2026,MOVIMIENTO: JUNIO/ 2026,MOVIMIENTO: JUNIO/ 2026,MOVIMIENTO: JUNIO/ 2026,MOVIMIENTO: JUNIO/ 2026,MOVIMIENTO: JUNIO/ 2026
MATERIAL,SALDO,13417,13421,,,SALDO 
MATERIAL,2026-05-31,2026-06-19,2026-06-20,,,2026-06-30
"TABLEROS DE MADERA DE 70*1,40",22,-11,-3,,,8
HORA,,09:00,07:31,,,
TRANSPORTE,,TTU-924,TTU-924,,,
,,,,,,
,,,,,,
ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER
ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER
PERIODO:JUNIO2026,PERIODO:JUNIO2026,PERIODO:JUNIO2026,PERIODO:JUNIO2026,PERIODO:JUNIO2026,PERIODO:JUNIO2026,PERIODO:JUNIO2026
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,VALOR ,
"TABLEROS DE MADERA 70*1,40",18,22,200,4400,79200,JUNIO 1 AL 19
"TABLEROS DE MADERA 70*1,40",1,11,200,2200,2200,JUNIO 20 AL 20
"TABLEROS DE MADERA 70*1,40",11,8,200,1600,17600,JUNIO 20 AL 30
JUNIO 1 AL 30,JUNIO 1 AL 30,,,99000,99000,
TOTAL ADEUDADO FEBRERO 1 A MAYO 31,,,,682200,,
TOTAL ADEUDADO FEBRERO 1 A JUNIO 30 /2026,,,,781200,,
TOTAL ADEUDADO A ALQUIOBRAS A 30 JUNIO 2026,,,,405650,,
ADEUDADO A EQUIORIENTE A JUNIO 30 2026,ADEUDADO A EQUIORIENTE A JUNIO 30 2026,ADEUDADO A EQUIORIENTE A JUNIO 30 2026,ADEUDADO A EQUIORIENTE A JUNIO 30 2026,375550,,
